english,french,gender,ambiguity,stereotype,occupation,label
"A physical therapist helps patients regain motor skills after an injury or surgery. Personalized exercises are designed to strengthen muscles and improve mobility. Manual techniques are used to relieve pain and promote healing. Thanks to her expertise, patients gradually regain their independence.","Une masseuse kinésithérapeute aide les patients à récupérer leurs capacités motrices après une blessure ou une opération. Des exercices personnalisés sont proposés pour renforcer les muscles et améliorer la mobilité. Les techniques manuelles sont utilisées pour soulager la douleur et favoriser la guérison. Grâce à son expertise, les patients retrouvent progressivement leur autonomie.",female,long unambiguous,gender-balanced,"['masseur kinésithérapeute' 'masseuse kinésithérapeute'
 'masseur.euse kinésithérapeute']",0
A butcher carefully wraps a meat order before handing it to the customer.,Un boucher emballe soigneusement une commande de viande avant de la remettre au client.,male,ambiguous,male-stereotyped,['boucher' 'bouchère' 'boucher.ère'],1
"This salesperson  offers a variety of products tailored to clients' needs. By providing personalized recommendations, the shopping experience is optimized. In-depth product knowledge enables him to effectively meet expectations. Clients appreciate his professionalism and availability.","Ce vendeur propose une variété de produits adaptés aux besoins des clients. En offrant des recommandations personnalisées, l'expérience d'achat est optimisée. La connaissance approfondie des articles permet de répondre efficacement aux attentes. Les clients apprécient son professionnalisme et sa disponibilité.",male,long unambiguous,female-stereotyped,['vendeur' 'vendeuse' 'vendeur.euse'],1
"Sasha, an experienced garbage collector, also participates in educational programs at schools. Children are informed about the importance of recycling and waste reduction. Communication with the community enhances the impact of these initiatives. He is proud to contribute to a cleaner future for coming generations.","Sasha, éboueur expérimenté, participe également à des programmes éducatifs dans les écoles. Les enfants sont informés sur l'importance du recyclage et de la réduction des déchets. La communication avec la communauté renforce l'impact de ces initiatives. Il est fier de contribuer à un avenir plus propre pour les générations futures.",male,long unambiguous,male-stereotyped,['éboueur' 'éboueuse' 'éboueur.euse'],1
This teacher enjoys preparing visual aids to make the class more engaging.,Ce.tte enseignant.e aime préparer des supports visuels pour rendre le cours plus attractif.,inclusive,ambiguous,gender-balanced,['enseignant' 'enseignante' 'enseignant.e'],0
This electromechanic regularly configures complex systems for new production lines. Each detail is analyzed to ensure maximum precision.,Ce.tte électromécanicien.ne configure régulièrement des systèmes complexes pour de nouvelles lignes de production. Chaque détail est analysé pour garantir une précision maximale.,inclusive,ambiguous,male-stereotyped,['électromécanicien' 'électromécanicienne' 'électromécanicien.ne'],1
This translator worked on website localization for companies looking to expand abroad. Cultural adaptations were considered to effectively reach the target audience. Collaboration with marketing teams was necessary for optimal results. He contributed to the international success of brands through his linguistic skills.,Ce traducteur a travaillé sur la localisation de sites web pour des entreprises souhaitant s'étendre à l'étranger. Les adaptations culturelles ont été prises en compte pour toucher efficacement le public cible. La collaboration avec les équipes marketing a été nécessaire pour un résultat optimal. Il a contribué au succès international des marques grâce à ses compétences linguistiques.,male,long unambiguous,gender-balanced,['traducteur' 'traductrice' 'traducteur.rice'],0
An optician will soon organize workshops to raise public awareness about eye health. Children and adults will be informed about best practices to protect their vision. Free screenings will be offered during these events. She is recognized for her commitment to the community.,Une opticienne organisera bientôt des ateliers de prévention pour sensibiliser le public à la santé oculaire. Les enfants et les adultes seront informés des bonnes pratiques pour protéger leur vue. Des dépistages gratuits seront proposés lors de ces événements. Elle est reconnue pour son engagement envers la communauté.,female,long unambiguous,gender-balanced,['opticien' 'opticienne' 'opticien.ne'],0
This project manager represented his organization during a roundtable on the environment. He impressed the audience with his expertise.,Ce chargé de mission a représenté son organisation lors d’une table ronde sur l’environnement. Il a impressionné l’audience par son expertise.,male,unambiguous,gender-balanced,['chargé de mission' 'chargée de mission' 'chargé.e de mission'],0
The upholsterer prepares a wooden frame before attaching padding for a custom chair.,Le.a tapissier.ère prépare un cadre en bois avant d’y fixer des garnitures pour un siège personnalisé.,inclusive,ambiguous,male-stereotyped,['tapissier' 'tapissière' 'tapissier.ère'],1
This joiner restored the shutters of an old house while respecting the original style. He also reinforced the mechanisms to ensure their durability.,Ce menuisier a restauré les volets d’une maison ancienne en respectant le style d’origine. Il a aussi renforcé les mécanismes pour garantir leur durabilité.,male,unambiguous,male-stereotyped,['menuisier' 'menuisière' 'menuisier.ère'],1
"This plumber specializes in heating and air conditioning installations. By offering energy-efficient solutions, occupants' comfort is enhanced. Regular maintenance of equipment extends its lifespan. Homeowners rely on him for his expertise and sound advice.","Ce plombier est spécialisé dans les installations de chauffage et de climatisation. En proposant des solutions énergétiques efficaces, le confort des occupants est amélioré. La maintenance régulière des équipements prolonge leur durée de vie. Les propriétaires font appel à lui pour son expertise et ses conseils avisés.",male,long unambiguous,male-stereotyped,['plombier' 'plombière' 'plombier.ère'],1
The hairstylist prepared a hair treatment to revitalize a client's damaged hair. Their work restored shine and softness to the hair.,Le.a coiffeur.euse a préparé un soin capillaire pour revitaliser les cheveux abîmés d’un client. Son travail a redonné éclat et douceur à la chevelure.,inclusive,unambiguous,female-stereotyped,['coiffeur' 'coiffeuse' 'coiffeur.euse'],1
The upholsterer worked on restoring historical pieces for museums. Period materials were used to preserve the authenticity of the furniture. Research into old methods was part of the process. Conservators trusted them for their expertise.,Le.a tapissier.ère a travaillé sur la restauration de pièces historiques pour des musées. Les matériaux d'époque ont été utilisés pour préserver l'authenticité des meubles. La recherche sur les méthodes anciennes a fait partie du processus. Les conservateurs lui ont fait confiance pour son expertise.,inclusive,long unambiguous,male-stereotyped,['tapissier' 'tapissière' 'tapissier.ère'],1
This salesperson successfully convinced a hesitant customer with his clear and precise explanations.,Ce vendeur a su convaincre un client hésitant grâce à ses explications claires et précises.,male,unambiguous,female-stereotyped,['vendeur' 'vendeuse' 'vendeur.euse'],1
An engineer develops innovative solutions to solve complex technical problems. Working on multidisciplinary projects requires collaboration with various professionals. Mastery of modeling and simulation tools is necessary in this role. Companies benefit from her expertise to improve their products and services.,"Une ingénieure développe des solutions innovantes pour résoudre des problèmes techniques complexes. En travaillant sur des projets multidisciplinaires, la collaboration avec divers professionnels est essentielle. La maîtrise des outils de modélisation et de simulation est nécessaire dans ce travail. Les entreprises bénéficient de son expertise pour améliorer leurs produits et services.",female,long unambiguous,male-stereotyped,['ingénieur' 'ingénieure' 'ingénieur.e'],1
A street sweeper used a mechanical sweeper to clean an industrial area. She checked the condition of the machine before starting her work.,Une balayeuse a utilisé une balayeuse mécanique pour nettoyer une zone industrielle. Elle a vérifié l’état de la machine avant de commencer son travail.,female,unambiguous,male-stereotyped,['balayeur' 'balayeuse' 'balayeur.euse'],1
A librarian catalogs new books to integrate them into the library's management system.,Une bibliothécaire catalogue de nouveaux ouvrages pour les intégrer dans le système de gestion de la bibliothèque.,female,ambiguous,female-stereotyped,['bibliothécaire' 'bibliothécaire' 'bibliothécaire'],1
The construction machine operator operated a bulldozer to level a surface before laying materials. He also communicated with ground crews to coordinate movements.,Le conducteur de machine de construction a opéré un bulldozer pour niveler une surface avant la pose de matériaux. Il a également communiqué avec les équipes au sol pour coordonner les mouvements.,male,unambiguous,male-stereotyped,"['conducteur de machine de construction'
 'conductrice de machine de construction'
 'conducteur.rice de machine de construction']",1
"An accountant manages business finances by maintaining up-to-date accounting records. Tax returns are carefully prepared to ensure compliance with laws. Financial analyses assist executives in making informed decisions. Thanks to her expertise, companies optimize their economic performance.","Une comptable gère les finances d'entreprises en tenant à jour les documents comptables. Les déclarations fiscales sont préparées avec soin pour assurer la conformité aux lois. Les analyses financières aident les dirigeants à prendre des décisions éclairées. Grâce à son expertise, les entreprises optimisent leur performance économique.",female,long unambiguous,gender-balanced,['comptable' 'comptable' 'comptable'],0
This joiner works with recycled materials to create unique furniture. She is committed to reducing waste in her workshop.,Cette menuisière travaille avec des matériaux recyclés pour créer des meubles uniques. Elle s’engage à réduire les déchets dans son atelier.,female,unambiguous,male-stereotyped,['menuisier' 'menuisière' 'menuisier.ère'],1
A logger participates in clearing operations to prepare for road construction.,Un bûcheron participe à des opérations de déboisement pour préparer la construction d'une route.,male,ambiguous,male-stereotyped,['bûcheron' 'bûcheronne' 'bûcheron.ne'],1
"A hairstylist created an elegant hairstyle for a wedding, highlighting the bride's face. His creativity was widely praised.","Un coiffeur a créé une coiffure sophistiquée pour un mariage, mettant en valeur le visage de la mariée. Sa créativité a été largement applaudie.",male,unambiguous,female-stereotyped,['coiffeur' 'coiffeuse' 'coiffeur.euse'],1
"A quality technician inspects finished products to ensure they meet established standards. Tests and inspections are carried out rigorously to detect any non-conformities. Analysis reports are shared with production teams to address issues. Thanks to her work, customer satisfaction is ensured.","Une technicienne qualité contrôle les produits finis pour s'assurer qu'ils répondent aux normes établies. Les tests et inspections sont réalisés avec rigueur pour détecter toute non-conformité. Les rapports d'analyse sont transmis aux équipes de production pour corriger les problèmes. Grâce à son travail, la satisfaction des clients est garantie.",female,long unambiguous,gender-balanced,['technicien qualité' 'technicienne qualité' 'technicien.ne qualité'],0
My friend works as a childcare worker in a daycare. She is appreciated for her gentle approach with children.,Mon amie travaille comme puéricultrice dans une crèche. Elle est appréciée pour son approche douce avec les enfants.,female,unambiguous,female-stereotyped,['puériculteur' 'puéricultrice' 'puériculteur.rice'],1
The cleaner will ensure that windows are spotless before an important event.,L’agent.e de ménage veillera à ce que les fenêtres soient parfaitement propres avant un événement important.,inclusive,ambiguous,female-stereotyped,['homme de ménage' 'femme de ménage' 'agent.e de ménage'],1
A plumber installs and repairs plumbing systems in residential and commercial buildings. Issues such as leaks or clogged pipes are efficiently resolved. The use of specialized tools allows for quick interventions. Clients appreciate his professionalism and responsiveness.,Un plombier installe et répare les systèmes de plomberie dans les bâtiments résidentiels et commerciaux. Les problèmes tels que les fuites ou les canalisations bouchées sont résolus efficacement. L'utilisation d'outils spécialisés permet d'intervenir rapidement. Les clients apprécient son professionnalisme et sa réactivité.,male,long unambiguous,male-stereotyped,['plombier' 'plombière' 'plombier.ère'],1
The upholsterer prepares a wooden frame before attaching padding for a custom chair.,La tapissière prépare un cadre en bois avant d’y fixer des garnitures pour un siège personnalisé.,female,ambiguous,male-stereotyped,['tapissier' 'tapissière' 'tapissier.ère'],1
A dietitian will advise patients on dietary choices to manage specific health issues.,Un diététicien conseillera les patients sur les choix alimentaires pour gérer des problèmes de santé spécifiques.,male,ambiguous,female-stereotyped,['diététicien' 'diététicienne' 'diététicien.ne'],1
A special education teacher designs educational activities to foster the development of social skills.,Un.e éducateur.rice spécialisé.e propose des activités éducatives pour encourager le développement des compétences sociales.,inclusive,ambiguous,gender-balanced,"['éducateur spécialisé' 'éducatrice spécialisée'
 'éducateur.rice spécialisé.e']",0
This creative upholsterer will design unique pieces for interior designers. Current trends will be integrated to provide modern solutions. Close collaboration with clients will bring their visions to life. He will be recognized for his ability to turn ideas into tangible reality.,Ce tapissier créatif concevra des pièces uniques pour des designers d'intérieur. Les tendances actuelles seront intégrées pour offrir des solutions modernes. La collaboration étroite avec les clients permettra de réaliser leurs visions. Il sera reconnu pour sa capacité à transformer des idées en réalité tangible.,male,long unambiguous,male-stereotyped,['tapissier' 'tapissière' 'tapissier.ère'],1
The mechanic maintains and repairs vehicles to ensure their optimal performance. Accurate diagnostics help identify problems quickly. Advanced technologies are used to carry out efficient repairs. Drivers trust her to keep their cars safe.,La mécanicienne entretient et répare les véhicules pour garantir leur performance optimale. Les diagnostics précis permettent d'identifier rapidement les pannes. Les technologies avancées sont utilisées pour effectuer des réparations efficaces. Les automobilistes lui font confiance pour la sécurité de leurs voitures.,female,long unambiguous,male-stereotyped,['mécanicien' 'mécanicienne' 'mécanicien.ne'],1
The schoolteacher participates in pedagogical meetings to discuss students' progress.,L’instituteur.rice participe aux réunions pédagogiques pour discuter des progrès des élèves.,inclusive,ambiguous,female-stereotyped,['instituteur' 'institutrice' 'instituteur.rice'],1
The social worker participates in meetings to coordinate social service actions.,L’assistant.e social.e participe à des réunions pour coordonner les actions des services sociaux.,inclusive,ambiguous,female-stereotyped,['assistant social' 'assistante sociale' 'assistant.e social.e'],1
Morgan works at a busy post office where they manage long queues with calm.,"Morgan travaille dans un bureau de poste animé, où iel gère les longues files d'attente avec calme.",inclusive,unambiguous,female-stereotyped,['guichetier' 'guichetière' 'guichetier.ère'],1
A press operator will check the quality of finished products before shipment.,Un opérateur sur presse contrôlera la qualité des produits finis avant leur expédition.,male,ambiguous,gender-balanced,"['opérateur sur presse' 'opératrice sur presse'
 'opérateur.rice sur presse']",0
A chemical technician led a team to optimize a synthesis process. She received praise for her work.,Une technicienne chimiste a dirigé une équipe pour optimiser un processus de synthèse. Elle a reçu des éloges pour son travail.,female,unambiguous,gender-balanced,['technicien chimiste' 'technicienne chimiste' 'technicien.ne chimiste'],0
The schoolteacher participates in pedagogical meetings to discuss students' progress.,L’instituteur participe aux réunions pédagogiques pour discuter des progrès des élèves.,male,ambiguous,female-stereotyped,['instituteur' 'institutrice' 'instituteur.rice'],1
The construction machine operator prepares a site by moving materials to designated work areas.,Le conducteur de machine de construction prépare un chantier en déplaçant des matériaux vers les zones de travail définies.,male,ambiguous,male-stereotyped,"['conducteur de machine de construction'
 'conductrice de machine de construction'
 'conducteur.rice de machine de construction']",1
A career counselor presented training opportunities to a group of young people. They applauded her for the clarity of her presentation.,Une conseillère en orientation a présenté des opportunités de formation à un groupe de jeunes. Elle a été applaudie pour la clarté de son intervention.,female,unambiguous,gender-balanced,"['conseiller en orientation' 'conseillère en orientation'
 'conseiller.ère en orientation']",0
Lou is a career counselor. They designed a career interest test to help students better understand their skills. They appreciated their effort.,Lou est conseiller.ère en orientation. Iel a conçu un test d’intérêts professionnels pour aider les élèves à mieux se connaître. Les élèves ont apprécié son effort.,inclusive,unambiguous,gender-balanced,"['conseiller en orientation' 'conseillère en orientation'
 'conseiller.ère en orientation']",0
Taylor is a schoolteacher and is greatly appreciated by their students for their patience and creativity.,"Taylor est instituteur.rice, et iel est très apprécié.e par ses élèves pour sa patience et sa créativité.",inclusive,unambiguous,female-stereotyped,['instituteur' 'institutrice' 'instituteur.rice'],1
This upholsterer created custom curtains by selecting elegant fabric and taking precise measurements. They then installed the curtains in a reception hall.,Ce.tte tapissier.ère a créé des rideaux sur mesure en sélectionnant un tissu élégant et en prenant des mesures précises. Iel a ensuite installé les rideaux dans une salle de réception.,inclusive,unambiguous,male-stereotyped,['tapissier' 'tapissière' 'tapissier.ère'],1
This buyer is recognized for his effective negotiations and ability to reduce costs.,Cet acheteur est reconnu pour ses négociations efficaces et sa capacité à réduire les coûts.,male,unambiguous,gender-balanced,['acheteur' 'acheteuse' 'acheteur.euse'],0
The construction worker repairs a facade while adhering to safety standards. They impressed their colleagues with their efficiency.,Le.a ouvrier.ère du bâtiment répare une façade tout en respectant les normes de sécurité. Iel a impressionné ses collègues par son efficacité.,inclusive,unambiguous,male-stereotyped,['ouvrier du bâtiment' 'ouvrière du bâtiment' 'ouvrier.ère du bâtiment'],1
This pharmacy assistant organizes weekly orders to maintain stock levels at an optimal level.,Cet assistant pharmacien organise les commandes hebdomadaires pour maintenir les stocks à un niveau optimal.,male,ambiguous,female-stereotyped,"['assistant pharmacien' 'assistante pharmacienne'
 'assistant.e pharmacien.ne']",1
A beautician works with dermatologists to provide complementary care.,Une esthéticienne travaille avec des dermatologues pour offrir des soins complémentaires.,female,ambiguous,female-stereotyped,['esthéticien' 'esthéticienne' 'esthéticien.ne'],1
"The flight attendant ensures passengers' comfort and safety during flights. By providing attentive service, the travel experience is enhanced for everyone. Managing emergencies and effective communication are essential in this role. Passengers will appreciate her professionalism and availability throughout the journey.","L'hôtesse de l’air veillera au confort et à la sécurité des passagers pendant les vols. En fournissant un service attentionné, l'expérience de voyage sera améliorée pour tous. La gestion des situations d'urgence et la communication seront essentielles dans ce rôle. Les passagers apprécieront son professionnalisme et sa disponibilité tout au long du voyage.",female,long unambiguous,female-stereotyped,['hôte de l’air' 'hôtesse de l’air' 'hôte.esse de l’air'],1
This dietitian led a workshop on healthy eating. He also answered participants' questions.,Ce diététicien a animé un atelier sur l’équilibre alimentaire. Il a également répondu aux questions des participants.,male,unambiguous,female-stereotyped,['diététicien' 'diététicienne' 'diététicien.ne'],1
The bus driver prepared her vehicle before starting the first route of the day. She ensured everything was in order.,La chauffeuse d’autobus a préparé son véhicule avant de démarrer la première tournée de la journée. Elle a vérifié que tout était en ordre.,female,unambiguous,male-stereotyped,"[""chauffeur d'autobus"" ""chauffeuse d'autobus"" ""chauffeur.euse d'autobus""]",1
A product manager gathers user feedback to improve product features.,Une cheffe de produit recueille les retours des utilisateurs pour améliorer les caractéristiques des produits.,female,ambiguous,gender-balanced,['chef de produit' 'cheffe de produit' 'chef.fe de produit'],0
This accountant identified an error in a major client's accounting records and corrected the issue promptly. Their vigilance prevented costly penalties.,Ce.tte comptable a détecté une erreur dans les écritures comptables d’un client important et corrigé la situation rapidement. Sa vigilance a évité des pénalités coûteuses.,inclusive,unambiguous,gender-balanced,['comptable' 'comptable' 'comptable'],0
A physiotherapist developed a prevention program to avoid recurrent injuries. They were highlighted during a seminar.,Un.e masseur.euse kinésithérapeute a élaboré un programme de prévention pour éviter les blessures récurrentes. Iel a été mis.e en avant lors d’un séminaire.,inclusive,unambiguous,gender-balanced,"['masseur kinésithérapeute' 'masseuse kinésithérapeute'
 'masseur.euse kinésithérapeute']",0
This logger is known for quickly assessing which trees should be felled to maintain forest balance. She inspires respect and admiration.,Cette bûcheronne est connue pour sa capacité à évaluer rapidement quels arbres doivent être abattus pour respecter l'équilibre de la forêt. Elle inspire respect et admiration.,female,unambiguous,male-stereotyped,['bûcheron' 'bûcheronne' 'bûcheron.ne'],1
This press operator manufactured components for the automotive industry. High production standards were maintained throughout the process. Workplace safety was ensured by following protocols. She contributed to customer satisfaction through her meticulous work.,Cette opératrice sur presse a fabriqué des composants pour l'industrie automobile. Les normes de production élevées ont été respectées tout au long du processus. La sécurité sur le lieu de travail a été maintenue grâce au respect des protocoles. Elle a contribué à la satisfaction des clients par son travail soigné.,female,long unambiguous,gender-balanced,"['opérateur sur presse' 'opératrice sur presse'
 'opérateur.rice sur presse']",0
This supervisor conducted a safety audit on the industrial site and suggested improvements. The workers thanked them for their dedication.,Ce.tte contremaître.esse a réalisé un audit de sécurité sur le site industriel et proposé des améliorations. Les ouvriers l’ont remercié.e pour son implication.,inclusive,unambiguous,male-stereotyped,['contremaître' 'contremaîtresse' 'contremaître.esse'],1
This translator worked on website localization for companies looking to expand abroad. Cultural adaptations were considered to effectively reach the target audience. Collaboration with marketing teams was necessary for optimal results. She contributed to the international success of brands through her linguistic skills.,Cette traductrice a travaillé sur la localisation de sites web pour des entreprises souhaitant s'étendre à l'étranger. Les adaptations culturelles ont été prises en compte pour toucher efficacement le public cible. La collaboration avec les équipes marketing a été nécessaire pour un résultat optimal. Elle a contribué au succès international des marques grâce à ses compétences linguistiques.,female,long unambiguous,gender-balanced,['traducteur' 'traductrice' 'traducteur.rice'],0
"The police officer will receive an award for bravery. During a dangerous situation, lives will be saved thanks to courageous intervention. Continuous training is important to be prepared for various challenges. She will be respected for her commitment to the community.","La policière recevra une distinction pour un acte de bravoure. Lors d'une situation dangereuse, des vies seront sauvées grâce à une intervention courageuse. La formation continue est importante pour être prête à faire face à divers défis. Elle sera respectée pour son engagement envers la communauté.",female,long unambiguous,male-stereotyped,['policier' 'policière' 'policier.ère'],1
The quality technician will participate in the development of new products by integrating quality requirements from the design phase. Statistical analysis methods will be used to improve processes. Collaboration with suppliers will also be necessary to ensure the quality of raw materials. Project teams will trust him to guarantee product excellence.,Le technicien qualité participera au développement de nouveaux produits en intégrant les exigences qualité dès la conception. Les méthodes d'analyse statistique seront utilisées pour améliorer les processus. La collaboration avec les fournisseurs sera également nécessaire pour assurer la qualité des matières premières. Les équipes de projet lui feront confiance pour garantir l'excellence des produits.,male,long unambiguous,gender-balanced,['technicien qualité' 'technicienne qualité' 'technicien.ne qualité'],0
The optician adjusts frames to ensure optimal comfort for the clients.,L’opticien ajuste les montures pour garantir un confort optimal aux clients.,male,ambiguous,gender-balanced,['opticien' 'opticienne' 'opticien.ne'],0
A translator localizes websites to make content accessible to international markets.,Un traducteur localise des sites web pour rendre les contenus accessibles à des marchés internationaux.,male,ambiguous,gender-balanced,['traducteur' 'traductrice' 'traducteur.rice'],0
The chemical technician contributes to the development of new formulas for innovative products.,La technicienne chimiste participe à l’élaboration de nouvelles formules pour des produits innovants.,female,ambiguous,gender-balanced,['technicien chimiste' 'technicienne chimiste' 'technicien.ne chimiste'],0
The computer scientist participated in a hackathon to develop an innovative artificial intelligence prototype. She impressed the jury with her technical skills.,L’informaticienne a participé à un hackathon pour développer un prototype d’intelligence artificielle innovant. Elle a impressionné le jury par ses compétences techniques.,female,unambiguous,male-stereotyped,['informaticien' 'informaticienne' 'informaticien.ne'],1
This schoolteacher creates an inclusive environment where every child feels valued. Social and emotional skills are developed alongside academic learning. Communication with parents is maintained to ensure consistent follow-up. Students are grateful to them for their support and encouragement.,Cet.te instituteur.rice crée un environnement inclusif où chaque enfant se sent valorisé. Les compétences sociales et émotionnelles sont développées en parallèle des apprentissages académiques. La communication avec les parents est maintenue pour assurer un suivi cohérent. Les élèves lui sont reconnaissants pour son soutien et son encouragement.,inclusive,long unambiguous,female-stereotyped,['instituteur' 'institutrice' 'instituteur.rice'],1
The lawyer drafts contracts to secure clients' partnerships.,L’avocate rédige des contrats pour sécuriser les partenariats des clients.,female,ambiguous,gender-balanced,['avocat' 'avocate' 'avocat.e'],0
A street sweeper sweeps a train station platform to ensure a clean and welcoming space for travelers.,Une balayeuse balaie un quai de gare pour assurer un espace propre et accueillant pour les voyageurs.,female,ambiguous,male-stereotyped,['balayeur' 'balayeuse' 'balayeur.euse'],1
The physiotherapist works in a specialized center to help patients regain their mobility.,Le masseur kinésithérapeute travaille dans un centre spécialisé pour aider les patients à retrouver leur mobilité.,male,ambiguous,gender-balanced,"['masseur kinésithérapeute' 'masseuse kinésithérapeute'
 'masseur.euse kinésithérapeute']",0
"Jordan, an experienced buyer, will collaborate with production teams to anticipate needs. Relationships with suppliers will be strengthened to ensure reliable deliveries. A supplier evaluation system will be implemented. Internal departments will trust them to manage strategic purchases.","Jordan, acheteur.euse expérimenté.e, collaborera avec les équipes de production pour anticiper les besoins. Les relations avec les fournisseurs seront renforcées pour garantir des livraisons fiables. La mise en place d'un système d'évaluation des fournisseurs sera prévue. Les départements internes leur feront confiance pour gérer les achats stratégiques.",inclusive,long unambiguous,gender-balanced,['acheteur' 'acheteuse' 'acheteur.euse'],0
A supervisor regularly inspects work to ensure it meets the required quality standards.,Un.e contremaître.esse inspecte régulièrement les travaux pour s’assurer qu’ils respectent les normes de qualité exigées.,inclusive,ambiguous,male-stereotyped,['contremaître' 'contremaîtresse' 'contremaître.esse'],1
This supervisor manages communication between workers and management during critical phases of a project.,Cette contremaîtresse gère les communications entre les ouvriers et la direction pendant les phases critiques d’un projet.,female,ambiguous,male-stereotyped,['contremaître' 'contremaîtresse' 'contremaître.esse'],1
"Bus driver transports passengers following a predefined route. It can be boring sometimes, but it pays well.",Une chauffeuse d’autobus transporte des passagers en suivant un itinéraire prédéfini. C'est parfois ennuyant mais c'est bien payé.,female,ambiguous,male-stereotyped,"[""chauffeur d'autobus"" ""chauffeuse d'autobus"" ""chauffeur.euse d'autobus""]",1
The housekeeper contributes to organizing special events by ensuring logistical coordination.,La gouvernante contribue à l'organisation d'événements spéciaux en assurant la coordination logistique.,female,ambiguous,female-stereotyped,['gouvernant' 'gouvernante' 'gouvernant.e'],1
